file,sorry_or_admit_lines,prop_true_hits,ok_eq_true_hits,trivial_by_counts
CI/Guards.lean,1,0,0,0
Clay/Final.lean,1,0,0,0
Docs/Anchors.lean,0,0,0,0
Docs/NoAlias.lean,0,0,0,0
Docs/Pipeline.lean,0,0,0,0
Export/Variants.lean,1,0,0,0
Model/Gauge.lean,1,0,0,0
OSPositivity/Clustering.lean,1,0,0,1
OSPositivity/Euclid.lean,1,0,0,3
OSPositivity/GNS.lean,2,0,0,0
OSPositivity/LocalFields.lean,1,0,0,5
OSPositivity/OS2.lean,1,0,0,0
OSPositivity/UEI.lean,1,0,0,5
OSPositivity/Vacuum.lean,1,0,0,0
OSPositivity/Wightman.lean,1,0,0,1
OSWilson/Cluster.lean,1,0,1,4
OSWilson/Crossing.lean,1,0,0,0
OSWilson/Cylinder.lean,1,0,0,0
OSWilson/DeriveGap.lean,1,0,0,0
OSWilson/Doeblin.lean,1,2,0,26
OSWilson/DoeblinExplicit.lean,1,0,0,0
OSWilson/Gibbs.lean,1,0,0,1
OSWilson/OddConeDeficit.lean,1,0,0,3
SpectralStability/Persistence.lean,1,0,1,0
SpectralStability/RescaledNRC.lean,1,0,0,6
SpectralStability/Universality.lean,1,0,0,0
Transfer/PhysicalGap.lean,2,0,8,21
tests/Cluster.lean,0,0,0,0
tests/Clustering.lean,0,0,0,0
tests/Crossing.lean,0,0,0,0
tests/Doeblin.lean,0,0,0,0
tests/Euclid.lean,0,0,0,0
tests/ExportGaps.lean,0,0,0,2
tests/Final.lean,0,0,0,0
tests/GNS.lean,0,0,0,0
tests/Gibbs.lean,0,0,0,0
tests/OS2.lean,0,0,0,0
tests/OScylinder.lean,0,0,0,0
tests/OddCone.lean,0,0,0,0
tests/Persistence.lean,0,0,0,0
tests/PhysicalGap.lean,0,0,0,4
tests/RescaledNRC.lean,0,0,0,0
tests/UEI.lean,0,0,0,0
tests/Universality.lean,0,0,0,0
tests/Vacuum.lean,0,0,0,0
tests/Variants.lean,0,0,0,2
tests/Wightman.lean,0,0,0,0
